,longitude,latitude,area
0,165.7,-46.2,85870752.53073162
1,165.8,-46.3,85716616.96676894
2,165.8,-46.2,85870752.53074819
3,165.8,-46.1,86024618.99515814
4,165.8,-46.0,86178215.92715266
5,165.8,-45.9,86331542.8947241
6,165.8,-45.8,86484599.46709418
7,165.8,-45.7,86637385.21437214
8,165.8,-45.6,86789899.70741215
9,165.9,-46.4,85562212.73737505
10,165.9,-46.3,85716616.96679084
11,165.9,-46.2,85870752.5307081
12,165.9,-46.1,86024618.99516572
13,165.9,-46.0,86178215.92714977
14,165.9,-45.9,86331542.89473704
15,165.9,-45.8,86484599.46714753
16,165.9,-45.7,86637385.21437758
17,165.9,-45.6,86789899.70742023
18,165.9,-45.5,86942142.51872356
19,166.0,-46.5,85407540.27743678
20,166.0,-46.4,85562212.73738548
21,166.0,-46.3,85716616.96675444
22,166.0,-46.2,85870752.53074017
23,166.0,-46.1,86024618.99516572
24,166.0,-46.0,86178215.9271444
25,166.0,-45.9,86331542.89474156
26,166.0,-45.8,86484599.46710691
27,166.0,-45.7,86637385.21437022
28,166.0,-45.6,86789899.70741785
29,166.0,-45.5,86942142.51872073
30,166.0,-45.4,87094113.22138485
31,166.1,-46.6,85252600.02293324
32,166.1,-46.5,85407540.27747416
33,166.1,-46.4,85562212.73736443
34,166.1,-46.3,85716616.96674794
35,166.1,-46.2,85870752.53076392
36,166.1,-46.1,86024618.9951461
37,166.1,-46.0,86178215.92712963
38,166.1,-45.9,86331542.8947294
39,166.1,-45.8,86484599.4671243
40,166.1,-45.7,86637385.21435046
41,166.1,-45.6,86789899.70746328
42,166.1,-45.5,86942142.5187174
43,166.1,-45.4,87094113.22139242
44,166.1,-45.3,87245811.38954958
45,166.2,-46.7,85097392.41119187
46,166.2,-46.6,85252600.02297339
47,166.2,-46.5,85407540.27747843
48,166.2,-46.4,85562212.73735932
49,166.2,-46.3,85716616.96676706
50,166.2,-46.2,85870752.53075334
51,166.2,-46.1,86024618.99514742
52,166.2,-46.0,86178215.92716879
53,166.2,-45.9,86331542.89470658
54,166.2,-45.8,86484599.46712981
55,166.2,-45.7,86637385.21434727
56,166.2,-45.6,86789899.70743877
57,166.2,-45.5,86942142.51869652
58,166.2,-45.4,87094113.22141522
59,166.2,-45.3,87245811.38957578
60,166.2,-45.2,87397236.59863941
61,166.3,-46.9,84786176.8683786
62,166.3,-46.8,84941917.87990311
63,166.3,-46.7,85097392.41123475
64,166.3,-46.6,85252600.02298258
65,166.3,-46.5,85407540.27744022
66,166.3,-46.4,85562212.7373484
67,166.3,-46.3,85716616.96677548
68,166.3,-46.2,85870752.53073825
69,166.3,-46.1,86024618.9951626
70,166.3,-46.0,86178215.927115
71,166.3,-45.9,86331542.89471698
72,166.3,-45.8,86484599.4671421
73,166.3,-45.7,86637385.21438017
74,166.3,-45.6,86789899.70742258
75,166.3,-45.5,86942142.51871148
76,166.3,-45.4,87094113.22139622
77,166.3,-45.3,87245811.38956217
78,166.3,-45.2,87397236.59861092
79,166.3,-45.1,87548388.42474203
80,166.4,-47.0,84630169.8167462
81,166.4,-46.9,84786176.86839616
82,166.4,-46.8,84941917.87989825
83,166.4,-46.7,85097392.41121311
84,166.4,-46.6,85252600.02298218
85,166.4,-46.5,85407540.27742967
86,166.4,-46.4,85562212.73736584
87,166.4,-46.3,85716616.96675417
88,166.4,-46.2,85870752.53074528
89,166.4,-46.1,86024618.9951762
90,166.4,-46.0,86178215.9271142
91,166.4,-45.9,86331542.89472294
92,166.4,-45.8,86484599.46712753
93,166.4,-45.7,86637385.21436998
94,166.4,-45.6,86789899.70739992
95,166.4,-45.5,86942142.51871844
96,166.4,-45.4,87094113.221398
97,166.4,-45.3,87245811.38956687
98,166.4,-45.2,87397236.59865084
99,166.4,-45.1,87548388.4247115
100,166.4,-45.0,87699266.44521557
101,166.5,-47.1,84473897.16602235
102,166.5,-47.0,84630169.81672055
103,166.5,-46.9,84786176.86839125
104,166.5,-46.8,84941917.87992059
105,166.5,-46.7,85097392.41121264
106,166.5,-46.6,85252600.02301499
107,166.5,-46.5,85407540.27741885
108,166.5,-46.4,85562212.73735182
109,166.5,-46.3,85716616.96677892
110,166.5,-46.2,85870752.53073597
111,166.5,-46.1,86024618.99516267
112,166.5,-46.0,86178215.92713715
113,166.5,-45.9,86331542.89471404
114,166.5,-45.8,86484599.46708822
115,166.5,-45.7,86637385.21436045
116,166.5,-45.6,86789899.7074405
117,166.5,-45.5,86942142.51871754
118,166.5,-45.4,87094113.22139171
119,166.5,-45.3,87245811.38957
120,166.5,-45.2,87397236.59865554
121,166.5,-45.1,87548388.4247091
122,166.5,-45.0,87699266.44522277
123,166.5,-44.9,87849870.23824519
124,166.6,-47.2,84317359.35847574
125,166.6,-47.1,84473897.16604264
126,166.6,-47.0,84630169.81674609
127,166.6,-46.9,84786176.86838125
128,166.6,-46.8,84941917.87991983
129,166.6,-46.7,85097392.41123053
130,166.6,-46.6,85252600.0229966
131,166.6,-46.5,85407540.27743581
132,166.6,-46.4,85562212.73736233
133,166.6,-46.3,85716616.96677506
134,166.6,-46.2,85870752.53074713
135,166.6,-46.1,86024618.99516757
136,166.6,-46.0,86178215.92712185
137,166.6,-45.9,86331542.89471772
138,166.6,-45.8,86484599.46709256
139,166.6,-45.7,86637385.21437454
140,166.6,-45.6,86789899.7074387
141,166.6,-45.5,86942142.5187294
142,166.6,-45.4,87094113.22139531
143,166.6,-45.3,87245811.38956204
144,166.6,-45.2,87397236.59859732
145,166.6,-45.1,87548388.4247573
146,166.6,-45.0,87699266.44518875
147,166.6,-44.9,87849870.23827377
148,166.6,-44.8,88000199.38347797
149,166.7,-47.3,84160556.83714813
150,166.7,-47.2,84317359.35845222
151,166.7,-47.1,84473897.16604573
152,166.7,-47.0,84630169.81676584
153,166.7,-46.9,84786176.8683819
154,166.7,-46.8,84941917.87990698
155,166.7,-46.7,85097392.4112085
156,166.7,-46.6,85252600.02300766
157,166.7,-46.5,85407540.27744524
158,166.7,-46.4,85562212.73734702
159,166.7,-46.3,85716616.96677375
160,166.7,-46.2,85870752.53075217
161,166.7,-46.1,86024618.99514729
162,166.7,-46.0,86178215.92713639
163,166.7,-45.9,86331542.89472775
164,166.7,-45.8,86484599.46713184
165,166.7,-45.7,86637385.2143595
166,166.7,-45.6,86789899.70743698
167,166.7,-45.5,86942142.51870248
168,166.7,-45.4,87094113.22140497
169,166.7,-45.3,87245811.38956308
170,166.7,-45.2,87397236.59865098
171,166.7,-45.1,87548388.4247567
172,166.7,-45.0,87699266.4451833
173,166.7,-44.9,87849870.23824333
174,166.7,-44.8,88000199.38348626
175,166.7,-44.7,88150253.46119256
176,166.8,-47.4,84003490.04638694
177,166.8,-47.3,84160556.83716509
178,166.8,-47.2,84317359.3584611
179,166.8,-47.1,84473897.16605347
180,166.8,-47.0,84630169.81673983
181,166.8,-46.9,84786176.86839357
182,166.8,-46.8,84941917.87990735
183,166.8,-46.7,85097392.41121553
184,166.8,-46.6,85252600.02301568
185,166.8,-46.5,85407540.2774552
186,166.8,-46.4,85562212.73735075
187,166.8,-46.3,85716616.96677165
188,166.8,-46.2,85870752.53073788
189,166.8,-46.1,86024618.99516028
190,166.8,-46.0,86178215.92710897
191,166.8,-45.9,86331542.89473984
192,166.8,-45.8,86484599.46711436
193,166.8,-45.7,86637385.21436545
194,166.8,-45.6,86789899.70744704
195,166.8,-45.5,86942142.51872185
196,166.8,-45.4,87094113.22141545
197,166.8,-45.3,87245811.38954554
198,166.8,-45.2,87397236.59863289
199,166.8,-45.1,87548388.42476463
200,166.8,-45.0,87699266.44519418
201,166.8,-44.9,87849870.23824874
202,166.8,-44.8,88000199.38346188
203,166.8,-44.7,88150253.46119462
204,166.8,-44.6,88300032.05266067
205,166.9,-47.6,83688565.43808638
206,166.9,-47.5,83846159.43137544
207,166.9,-47.4,84003490.04640971
208,166.9,-47.3,84160556.83715457
209,166.9,-47.2,84317359.35845926
210,166.9,-47.1,84473897.16605456
211,166.9,-47.0,84630169.81673568
212,166.9,-46.9,84786176.86837626
213,166.9,-46.8,84941917.87991163
214,166.9,-46.7,85097392.41120473
215,166.9,-46.6,85252600.02301952
216,166.9,-46.5,85407540.27742256
217,166.9,-46.4,85562212.737346
218,166.9,-46.3,85716616.96678823
219,166.9,-46.2,85870752.53073715
220,166.9,-46.1,86024618.99517019
221,166.9,-46.0,86178215.92712708
222,166.9,-45.9,86331542.89473924
223,166.9,-45.8,86484599.4671059
224,166.9,-45.7,86637385.2143564
225,166.9,-45.6,86789899.70742099
226,166.9,-45.5,86942142.51873578
227,166.9,-45.4,87094113.221403
228,166.9,-45.3,87245811.38954106
229,166.9,-45.2,87397236.59861788
230,166.9,-45.1,87548388.42476347
231,166.9,-45.0,87699266.445189
232,166.9,-44.9,87849870.23824543
233,166.9,-44.8,88000199.38345243
234,166.9,-44.7,88150253.46118005
235,166.9,-44.6,88300032.05266534
236,167.0,-47.6,83688565.43813866
237,167.0,-47.5,83846159.43136683
238,167.0,-47.4,84003490.04642211
239,167.0,-47.3,84160556.83717531
240,167.0,-47.2,84317359.3584895
241,167.0,-47.1,84473897.1660876
242,167.0,-47.0,84630169.81674436
243,167.0,-46.9,84786176.86840561
244,167.0,-46.8,84941917.87992105
245,167.0,-46.7,85097392.41121669
246,167.0,-46.6,85252600.02304307
247,167.0,-46.5,85407540.27746475
248,167.0,-46.4,85562212.73735374
249,167.0,-46.3,85716616.96678029
250,167.0,-46.2,85870752.53076534
251,167.0,-46.1,86024618.99518652
252,167.0,-46.0,86178215.92715015
253,167.0,-45.9,86331542.89474651
254,167.0,-45.8,86484599.46714441
255,167.0,-45.7,86637385.21436194
256,167.0,-45.6,86789899.7074516
257,167.0,-45.5,86942142.5187423
258,167.0,-45.4,87094113.22142434
259,167.0,-45.3,87245811.38957717
260,167.0,-45.2,87397236.59864649
261,167.0,-45.1,87548388.42476207
262,167.0,-45.0,87699266.44520691
263,167.0,-44.9,87849870.23828076
264,167.0,-44.8,88000199.38347232
265,167.0,-44.7,88150253.4612089
266,167.0,-44.6,88300032.05268587
267,167.0,-44.5,88449534.74029022
268,167.1,-47.7,83530708.5142565
269,167.1,-47.6,83688565.4381226
270,167.1,-47.5,83846159.4313802
271,167.1,-47.4,84003490.04647012
272,167.1,-47.3,84160556.83719444
273,167.1,-47.2,84317359.35848318
274,167.1,-47.1,84473897.16609079
275,167.1,-47.0,84630169.81675743
276,167.1,-46.9,84786176.86843199
277,167.1,-46.8,84941917.8799464
278,167.1,-46.7,85097392.41125599
279,167.1,-46.6,85252600.02301398
280,167.1,-46.5,85407540.27749453
281,167.1,-46.4,85562212.73737645
282,167.1,-46.3,85716616.96680395
283,167.1,-46.2,85870752.53080091
284,167.1,-46.1,86024618.99520397
285,167.1,-46.0,86178215.92716783
286,167.1,-45.9,86331542.89476128
287,167.1,-45.8,86484599.46718341
288,167.1,-45.7,86637385.214399
289,167.1,-45.6,86789899.70745322
290,167.1,-45.5,86942142.5187741
291,167.1,-45.4,87094113.22143266
292,167.1,-45.3,87245811.38959016
293,167.1,-45.2,87397236.59867302
294,167.1,-45.1,87548388.4247666
295,167.1,-45.0,87699266.44523479
296,167.1,-44.9,87849870.23831321
297,167.1,-44.8,88000199.38350749
298,167.1,-44.7,88150253.46121815
299,167.1,-44.6,88300032.05271593
300,167.1,-44.5,88449534.74032766
301,167.1,-44.4,88598761.10786569
302,167.2,-47.7,83530708.51425335
303,167.2,-47.6,83688565.43813246
304,167.2,-47.5,83846159.4313668
305,167.2,-47.4,84003490.04642342
306,167.2,-47.3,84160556.83719468
307,167.2,-47.2,84317359.3584833
308,167.2,-47.1,84473897.16606246
309,167.2,-47.0,84630169.81675005
310,167.2,-46.9,84786176.86845164
311,167.2,-46.8,84941917.87989499
312,167.2,-46.7,85097392.41124232
313,167.2,-46.6,85252600.02300265
314,167.2,-46.5,85407540.27746403
315,167.2,-46.4,85562212.73739427
316,167.2,-46.3,85716616.96680553
317,167.2,-46.2,85870752.53075378
318,167.2,-46.1,86024618.99518861
319,167.2,-46.0,86178215.92716122
320,167.2,-45.9,86331542.89476556
321,167.2,-45.8,86484599.46714282
322,167.2,-45.7,86637385.21438259
323,167.2,-45.6,86789899.70744622
324,167.2,-45.5,86942142.51871881
325,167.2,-45.4,87094113.22142623
326,167.2,-45.3,87245811.38959819
327,167.2,-45.2,87397236.59864512
328,167.2,-45.1,87548388.42475596
329,167.2,-45.0,87699266.44521235
330,167.2,-44.9,87849870.23828204
331,167.2,-44.8,88000199.3834779
332,167.2,-44.7,88150253.46121375
333,167.2,-44.6,88300032.05269244
334,167.2,-44.5,88449534.74026941
335,167.2,-44.4,88598761.10788395
336,167.2,-44.3,88747710.73940177
337,167.3,-47.8,83372589.1076587
338,167.3,-47.7,83530708.51426
339,167.3,-47.6,83688565.4380772
340,167.3,-47.5,83846159.43141572
341,167.3,-47.4,84003490.04643904
342,167.3,-47.3,84160556.83712506
343,167.3,-47.2,84317359.35849218
344,167.3,-47.1,84473897.16605356
345,167.3,-47.0,84630169.81678075
346,167.3,-46.9,84786176.86845657
347,167.3,-46.8,84941917.87989494
348,167.3,-46.7,85097392.41123998
349,167.3,-46.6,85252600.022995
350,167.3,-46.5,85407540.27744076
351,167.3,-46.4,85562212.737394
352,167.3,-46.3,85716616.96676019
353,167.3,-46.2,85870752.53078793
354,167.3,-46.1,86024618.99518263
355,167.3,-46.0,86178215.92713052
356,167.3,-45.9,86331542.89474297
357,167.3,-45.8,86484599.4671112
358,167.3,-45.7,86637385.21441245
359,167.3,-45.6,86789899.70743096
360,167.3,-45.5,86942142.51873837
361,167.3,-45.4,87094113.22140978
362,167.3,-45.3,87245811.38955832
363,167.3,-45.2,87397236.59863263
364,167.3,-45.1,87548388.42477378
365,167.3,-45.0,87699266.4452012
366,167.3,-44.9,87849870.23829693
367,167.3,-44.8,88000199.38348483
368,167.3,-44.7,88150253.46120764
369,167.3,-44.6,88300032.0526779
370,167.3,-44.5,88449534.74030438
371,167.3,-44.4,88598761.10787264
372,167.3,-44.3,88747710.7393876
373,167.3,-44.2,88896383.22079593
374,167.4,-47.8,83372589.10765737
375,167.4,-47.7,83530708.51427472
376,167.4,-47.6,83688565.43809222
377,167.4,-47.5,83846159.43141173
378,167.4,-47.4,84003490.04641996
379,167.4,-47.3,84160556.837145
380,167.4,-47.2,84317359.35849631
381,167.4,-47.1,84473897.16605683
382,167.4,-47.0,84630169.81675303
383,167.4,-46.9,84786176.86845326
384,167.4,-46.8,84941917.87989298
385,167.4,-46.7,85097392.41122118
386,167.4,-46.6,85252600.023021
387,167.4,-46.5,85407540.27746843
388,167.4,-46.4,85562212.73738539
389,167.4,-46.3,85716616.96674463
390,167.4,-46.2,85870752.53075296
391,167.4,-46.1,86024618.9952015
392,167.4,-46.0,86178215.92716473
393,167.4,-45.9,86331542.89474195
394,167.4,-45.8,86484599.46714038
395,167.4,-45.7,86637385.21441849
396,167.4,-45.6,86789899.70743106
397,167.4,-45.5,86942142.51874848
398,167.4,-45.4,87094113.22140826
399,167.4,-45.3,87245811.38958395
400,167.4,-45.2,87397236.59864517
401,167.4,-45.1,87548388.42476666
402,167.4,-45.0,87699266.44521248
403,167.4,-44.9,87849870.23828764
404,167.4,-44.8,88000199.38349338
405,167.4,-44.7,88150253.46121489
406,167.4,-44.6,88300032.05267087
407,167.4,-44.5,88449534.74031152
408,167.4,-44.4,88598761.10787219
409,167.4,-44.3,88747710.73940046
410,167.4,-44.2,88896383.22078429
411,167.4,-44.1,89044778.13844085
412,167.5,-47.8,83372589.10763305
413,167.5,-47.7,83530708.51423262
414,167.5,-47.6,83688565.43807694
415,167.5,-47.5,83846159.43138975
416,167.5,-47.4,84003490.04640469
417,167.5,-47.3,84160556.83714525
418,167.5,-47.2,84317359.35846369
419,167.5,-47.1,84473897.16603717
420,167.5,-47.0,84630169.81672429
421,167.5,-46.9,84786176.8684118
422,167.5,-46.8,84941917.8798992
423,167.5,-46.7,85097392.41122112
424,167.5,-46.6,85252600.0230133
425,167.5,-46.5,85407540.27743888
426,167.5,-46.4,85562212.7373442
427,167.5,-46.3,85716616.96674281
428,167.5,-46.2,85870752.53074959
429,167.5,-46.1,86024618.99516879
430,167.5,-46.0,86178215.92715004
431,167.5,-45.9,86331542.89471331
432,167.5,-45.8,86484599.46713734
433,167.5,-45.7,86637385.2143564
434,167.5,-45.6,86789899.70744294
435,167.5,-45.5,86942142.5187225
436,167.5,-45.4,87094113.22138953
437,167.5,-45.3,87245811.38955662
438,167.5,-45.2,87397236.59863
439,167.5,-45.1,87548388.42471501
440,167.5,-45.0,87699266.44520606
441,167.5,-44.9,87849870.23826568
442,167.5,-44.8,88000199.38345808
443,167.5,-44.7,88150253.46116768
444,167.5,-44.6,88300032.05264778
445,167.5,-44.5,88449534.74030684
