,longitude,latitude,area
6201415,164.55,-48.45,82258441.61948195
6201416,164.55,-48.35,82418385.76677081
6201417,164.55,-48.25,82578070.59780785
6201418,164.55,-48.15,82737495.65736626
6201419,164.55,-48.05,82896660.4909444
6201420,164.55,-47.95,83055564.64532399
6201421,164.55,-47.85,83214207.66797866
6201422,164.55,-47.75,83372589.10766952
6201423,164.55,-47.65,83530708.51422916
6201424,164.55,-47.55,83688565.43807659
6201425,164.55,-47.45,83846159.43135953
6201426,164.55,-47.35,84003490.04638852
6201427,164.55,-47.25,84160556.83718522
6201428,164.55,-47.15,84317359.3584824
6201429,164.55,-47.05,84473897.1660205
6201430,164.55,-46.95,84630169.81673148
6201431,164.55,-46.85,84786176.86839867
6201432,164.55,-46.75,84941917.8799053
6201433,164.55,-46.65,85097392.41123755
6201434,164.55,-46.55,85252600.02299349
6201435,164.55,-46.45,85407540.27743933
6201436,164.55,-46.35,85562212.73735055
6201437,164.55,-46.25,85716616.966769
6201438,164.55,-46.15,85870752.53075309
6201439,164.55,-46.05,86024618.99514367
6201440,164.55,-45.95,86178215.9271432
6201441,164.55,-45.85,86331542.89468876
6201442,164.55,-45.75,86484599.46716124
6201443,164.55,-45.65,86637385.21434858
6201444,164.55,-45.55,86789899.70744598
6201445,164.55,-45.45,86942142.51869893
6201446,164.55,-45.35,87094113.221412
6201447,164.55,-45.25,87245811.38954669
6201448,164.55,-45.15,87397236.59863853
6201449,164.55,-45.05,87548388.42471915
6201450,164.55,-44.95,87699266.44518186
6201451,164.55,-44.85,87849870.23828627
6201452,164.55,-44.75,88000199.38349473
6201453,164.55,-44.65,88150253.46115032
6201454,164.55,-44.55,88300032.05270097
6201455,164.55,-44.45,88449534.74027157
6201456,164.55,-44.35,88598761.10787044
6201457,164.55,-44.25,88747710.73937896
6201458,164.55,-44.15,88896383.22078645
6201459,164.55,-44.05,89044778.13842534
6201460,164.55,-43.95,89192895.07984108
6201461,164.55,-43.85,89340733.63381188
6201462,164.55,-43.75,89488293.38970013
6201463,164.55,-43.65,89635573.938389
6201464,164.55,-43.55,89782574.87156647
6201465,164.55,-43.45,89929295.78169322
6201466,164.55,-43.35,90075736.26277298
6201467,164.55,-43.25,90221895.90952204
6201468,164.55,-43.15,90367774.31768087
6201469,164.55,-43.05,90513371.08411793
6201470,164.55,-42.95,90658685.80664732
6201471,164.55,-42.85,90803718.08424646
6201472,164.55,-42.75,90948467.5168037
6201473,164.55,-42.65,91092933.70528197
6201474,164.55,-42.55,91237116.25152129
6201475,164.55,-42.45,91381014.75874086
6201476,164.55,-42.35,91524628.8307732
6201477,164.55,-42.25,91667958.0729455
6201478,164.55,-42.15,91811002.09110638
6201479,164.55,-42.05,91953760.49247855
6201480,164.55,-41.95,92096232.8852706
6201481,164.55,-41.85,92238418.87856689
6201482,164.55,-41.75,92380318.08276159
6201483,164.55,-41.65,92521930.10881421
6201484,164.55,-41.55,92663254.56930482
6201485,164.55,-41.45,92804291.07726261
6201486,164.55,-41.35,92945039.24730366
6201487,164.55,-41.25,93085498.69465122
6201488,164.55,-41.15,93225669.03552476
6201489,164.55,-41.05,93365549.88775815
6201490,164.55,-40.95,93505140.86951755
6201491,164.55,-40.85,93644441.60023174
6201492,164.55,-40.75,93783451.70068273
6201493,164.55,-40.65,93922170.7921024
6201494,164.55,-40.55,94060598.49734628
6201495,164.55,-40.45,94198734.43977359
6201496,164.55,-40.35,94336578.24427623
6201497,164.55,-40.25,94474129.53624934
6201498,164.55,-40.15,94611387.94247678
6201499,164.55,-40.05,94748353.09072521
6201500,164.55,-39.95,94885024.6097249
6201501,164.55,-39.85,95021402.12926692
6201502,164.55,-39.75,95157485.27997342
6201503,164.55,-39.65,95293273.69386858
6201504,164.55,-39.55,95428767.00384332
6201505,164.55,-39.45,95563964.84371716
6201506,164.55,-39.35,95698866.84815145
6201507,164.55,-39.25,95833472.6533893
6201508,164.55,-39.15,95967781.8964209
6201509,164.55,-39.05,96101794.21498895
6201510,164.55,-38.95,96235509.2483099
6201511,164.55,-38.85,96368926.63646747
6201512,164.55,-38.75,96502046.0202835
6201513,164.55,-38.65,96634867.0420906
6201514,164.55,-38.55,96767389.34493439
6201515,164.55,-38.45,96899612.57296884
6201516,164.55,-38.35,97031536.37132773
6201517,164.55,-38.25,97163160.3862837
6201518,164.55,-38.15,97294484.26496197
6201519,164.55,-38.05,97425507.6557455
6201520,164.55,-37.95,97556230.20781483
6201521,164.55,-37.85,97686651.57152358
6201522,164.55,-37.75,97816771.39809431
6201523,164.55,-37.65,97946589.3399173
6201524,164.55,-37.55,98076105.05045593
6201525,164.55,-37.45,98205318.18414013
6201526,164.55,-37.35,98334228.39601302
6201527,164.55,-37.25,98462835.34297283
6201528,164.55,-37.15,98591138.68230698
6201529,164.55,-37.05,98719138.07231306
6201530,164.55,-36.95,98846833.17276016
6201531,164.55,-36.85,98974223.64407551
6201532,164.55,-36.75,99101309.14767222
6201533,164.55,-36.65,99228089.34638894
6201534,164.55,-36.55,99354563.90360935
6201535,164.55,-36.45,99480732.4838753
6201536,164.55,-36.35,99606594.75301442
6201537,164.55,-36.25,99732150.3776123
6201538,164.55,-36.15,99857399.02520217
6201539,164.55,-36.05,99982340.36470409
6201540,164.55,-35.95,100106974.06561203
6201541,164.55,-35.85,100231299.79871592
6201542,164.55,-35.75,100355317.23574595
6201543,164.55,-35.65,100479026.04944563
6201544,164.55,-35.55,100602425.91357839
